1;5346573;5446573
2;1741559;1841559
3;7644967;7744967
4;6057499;6157499
5;574877;674877
6;7680544;7780544
7;9761346;9861346
8;9795492;9895492
9;3523144;3623144
10;3715025;3815025
11;8097699;8197699
12;4790568;4890568
13;7293092;7393092
14;4245002;4345002
15;4859764;4959764
16;6767312;6867312
17;376623;476623
18;7258392;7358392
19;8581025;8681025
20;703211;803211
21;8497977;8597977
22;3828278;3928278
23;8820136;8920136
24;3610171;3710171
25;7576523;7676523
26;9456103;9556103
27;2132313;2232313
28;5137595;5237595
29;5987199;6087199
30;1836583;1936583
31;6580809;6680809
32;2075133;2175133
33;6808339;6908339
34;8401888;8501888
35;567498;667498
36;7463236;7563236
37;7395477;7495477
38;3814801;3914801
39;7814610;7914610
40;9469426;9569426
41;3330530;3430530
42;1199986;1299986
43;444519;544519
44;1642420;1742420
45;9512293;9612293
46;107429;207429
47;3053262;3153262
48;7868129;7968129
49;1742547;1842547
50;3397421;3497421
51;8747160;8847160
52;7795247;7895247
53;2376241;2476241
54;8879563;8979563
55;37515;137515
56;3147583;3247583
57;6792532;6892532
58;3525177;3625177
59;6569721;6669721
60;5023053;5123053
61;173198;273198
62;9219602;9319602
63;3176173;3276173
64;666490;766490
65;1511307;1611307
66;9848218;9948218
67;6771028;6871028
68;7441738;7541738
69;1419742;1519742
70;4431008;4531008
71;3846584;3946584
72;5090573;5190573
73;2030651;2130651
74;3227230;3327230
75;4138070;4238070
76;9403701;9503701
77;6230336;6330336
78;4959911;5059911
79;9012530;9112530
80;493155;593155
81;7596955;7696955
82;7650236;7750236
83;5381693;5481693
84;5646595;5746595
85;7146220;7246220
86;252723;352723
87;860746;960746
88;7208752;7308752
89;1280467;1380467
90;3656582;3756582
91;1085744;1185744
92;7736682;7836682
93;3284618;3384618
94;3575432;3675432
95;7011489;7111489
96;6799804;6899804
97;8712933;8812933
98;869264;969264
99;6939999;7039999
100;2739837;2839837
101;4209308;4309308
102;283375;383375
103;5129068;5229068
104;8676964;8776964
105;7621794;7721794
106;2101077;2201077
107;8058436;8158436
108;4289914;4389914
109;556293;656293
110;8341590;8441590
111;1934812;2034812
112;9775716;9875716
113;5934347;6034347
114;5293118;5393118
115;7520322;7620322
116;6978549;7078549
